date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:42:21	42909/42909	---M--	200	added ('OK')	text/html	date:Wed,%2022%20Nov%202017%2009:15:24%20GMT	http://xena.tonytemplates.com/tonytemplates/pool-services/index.html	E:/WEB%20TEMPLATES%20HtTrack/DreamPool1/xena.tonytemplates.com/tonytemplates/pool-services/index.html	(from )
15:42:21	315/315	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2023%20Oct%202020%2010:16:19%20GMT	http://xena.tonytemplates.com/robots.txt		(from )
15:42:21	1150/1150	---M--	200	added ('OK')	image/x-icon	date:Wed,%2022%20Nov%202017%2009:14:15%20GMT	http://xena.tonytemplates.com/tonytemplates/pool-services/favicon.ico	E:/WEB%20TEMPLATES%20HtTrack/DreamPool1/xena.tonytemplates.com/tonytemplates/pool-services/favicon.ico	(from http://xena.tonytemplates.com/tonytemplates/pool-services/index.html)
15:42:24	121200/121200	---M--	200	added ('OK')	text/css	date:Wed,%2022%20Nov%202017%2009:13:55%20GMT	http://xena.tonytemplates.com/tonytemplates/pool-services/css/plugins/bootstrap.min.css	E:/WEB%20TEMPLATES%20HtTrack/DreamPool1/xena.tonytemplates.com/tonytemplates/pool-services/css/plugins/bootstrap.min.css	(from http://xena.tonytemplates.com/tonytemplates/pool-services/index.html)
15:42:24	5177/5177	---M--	200	added ('OK')	text/css	date:Wed,%2022%20Nov%202017%2009:13:54%20GMT	http://xena.tonytemplates.com/tonytemplates/pool-services/css/plugins/bootstrap-submenu.css	E:/WEB%20TEMPLATES%20HtTrack/DreamPool1/xena.tonytemplates.com/tonytemplates/pool-services/css/plugins/bootstrap-submenu.css	(from http://xena.tonytemplates.com/tonytemplates/pool-services/index.html)
15:42:25	53678/53678	---M--	200	added ('OK')	text/css	date:Wed,%2022%20Nov%202017%2009:13:54%20GMT	http://xena.tonytemplates.com/tonytemplates/pool-services/css/plugins/animate.min.css	E:/WEB%20TEMPLATES%20HtTrack/DreamPool1/xena.tonytemplates.com/tonytemplates/pool-services/css/plugins/animate.min.css	(from http://xena.tonytemplates.com/tonytemplates/pool-services/index.html)
15:42:27	3785/3785	---M--	200	added ('OK')	text/css	date:Wed,%2022%20Nov%202017%2009:13:55%20GMT	http://xena.tonytemplates.com/tonytemplates/pool-services/css/plugins/nivo-slider.css	E:/WEB%20TEMPLATES%20HtTrack/DreamPool1/xena.tonytemplates.com/tonytemplates/pool-services/css/plugins/nivo-slider.css	(from http://xena.tonytemplates.com/tonytemplates/pool-services/index.html)
15:42:27	1847/1847	---M--	200	added ('OK')	text/css	date:Wed,%2022%20Nov%202017%2009:13:56%20GMT	http://xena.tonytemplates.com/tonytemplates/pool-services/css/plugins/slick.css	E:/WEB%20TEMPLATES%20HtTrack/DreamPool1/xena.tonytemplates.com/tonytemplates/pool-services/css/plugins/slick.css	(from http://xena.tonytemplates.com/tonytemplates/pool-services/index.html)
15:42:27	7658/7658	---M--	200	added ('OK')	text/css	date:Wed,%2022%20Nov%202017%2009:13:55%20GMT	http://xena.tonytemplates.com/tonytemplates/pool-services/css/plugins/magnific-popup.css	E:/WEB%20TEMPLATES%20HtTrack/DreamPool1/xena.tonytemplates.com/tonytemplates/pool-services/css/plugins/magnific-popup.css	(from http://xena.tonytemplates.com/tonytemplates/pool-services/index.html)
15:42:29	113596/113596	---M--	200	added ('OK')	text/css	date:Wed,%2022%20Nov%202017%2009:13:53%20GMT	http://xena.tonytemplates.com/tonytemplates/pool-services/css/custom.css	E:/WEB%20TEMPLATES%20HtTrack/DreamPool1/xena.tonytemplates.com/tonytemplates/pool-services/css/custom.css	(from http://xena.tonytemplates.com/tonytemplates/pool-services/index.html)
